"Gene.stable.ID","GO.description","GO.term.accession","ontology","GO.term"
"AT1G01040","RNAi-mediated antiviral immune response","GO:0009616","P","response to biotic stimulus"
"AT1G01230","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G01440","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT1G01470","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G01580","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT1G02120","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G02205","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G02360","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT1G02450","regulation of systemic acquired resistance","GO:0010112","P","response to biotic stimulus"
"AT1G02660","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT1G02800","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT1G02860","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G02920","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G02930","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G03160","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT1G03850","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G04300","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT1G04400","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT1G04510","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G05010","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT1G05460","RNAi-mediated antiviral immune response","GO:0009616","P","response to biotic stimulus"
"AT1G05760","response to virus","GO:0009615","P","response to biotic stimulus"
"AT1G05800","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT1G06160","jasmonic acid and ethylene-dependent systemic resistance","GO:0009861","P","response to biotic stimulus"
"AT1G06680","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G07000","positive regulation of defense response to oomycetes","GO:1902290","P","response to biotic stimulus"
"AT1G07260","negative regulation of systemic acquired resistance","GO:0010113","P","response to biotic stimulus"
"AT1G07360","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G07460","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT1G07640","response to insect","GO:0009625","P","response to biotic stimulus"
"AT1G07745","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
