"Pathosystem","Strain","HostGeno","Replicate","BacGrowth"
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",3.381336755
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",3.752947825
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",3.211585674
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",3.462641695
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",4.605732694
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",4.08030676
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",4.192280519
"Pto-AvrRpt2_Col-0","Pto-AvrRpt2","Col-0","Bac031",3.96380119
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",3.211585674
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",4.053977821
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",3.548827842
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",4.053977821
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",3.462641695
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",4.08030676
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",4.192280519
"Pto-AvrRpt2_dde2-2","Pto-AvrRpt2","dde2-2","Bac031",4.929039084
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",4.281221602
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",3.381336755
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",2.548827842
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",3.355007816
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",4.014210694
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",3.440922445
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",4.128611439
"Pto-AvrRpt2_ein2-1","Pto-AvrRpt2","ein2-1","Bac031",3.628009089
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",4.752947825
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",4.724919102
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",4.128611439
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",3.381336755
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",3.565861182
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",3.845493033
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",3.813645665
"Pto-AvrRpt2_pad4-1","Pto-AvrRpt2","pad4-1","Bac031",3.656037812
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",4.192280519
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",4.247797847
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",4.105130343
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",4.613285832
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",3.574133708
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",3.789377091
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",3.548827842
"Pto-AvrRpt2_sid2-2","Pto-AvrRpt2","sid2-2","Bac031",4.649198388
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",4.264831186
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",4.247797847
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",4.105130343
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",4.172077133
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",3.355007816
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",3.891250523
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",4.891250523
"Pto-AvrRpt2_dde2-2 ein2-1","Pto-AvrRpt2","dde2-2 ein2-1","Bac031",4.849857838
"Pto-AvrRpt2_dde2-2 pad4-1","Pto-AvrRpt2","dde2-2 pad4-1","Bac031",4.462641695
"Pto-AvrRpt2_dde2-2 pad4-1","Pto-AvrRpt2","dde2-2 pad4-1","Bac031",4.995985874
"Pto-AvrRpt2_dde2-2 pad4-1","Pto-AvrRpt2","dde2-2 pad4-1","Bac031",5.025949097
"Pto-AvrRpt2_dde2-2 pad4-1","Pto-AvrRpt2","dde2-2 pad4-1","Bac031",5.192280519
"Pto-AvrRpt2_dde2-2 pad4-1","Pto-AvrRpt2","dde2-2 pad4-1","Bac031",4.694955878
"Pto-AvrRpt2_dde2-2 pad4-1","Pto-AvrRpt2","dde2-2 pad4-1","Bac031",5.429641435
