GeneID,Cor,P
AT3G51820,-0.508129077,0
AT1G50910,-0.50824512,0
AT5G51545,-0.508256674,0
AT1G61065,-0.508401854,0
AT5G46420,-0.508463644,0
AT5G01510,-0.508527443,0
AT5G13010,-0.508548541,0
AT5G02130,-0.5086465,0
AT1G16340,-0.508758023,0
AT5G53860,-0.50879168,0
AT3G23480,-0.50905642,0
AT1G60900,-0.509067472,0
AT5G35530,-0.509120721,0
AT2G38370,-0.509207629,0
AT1G73940,-0.50931262,0
AT1G74970,-0.509624079,0
AT5G38150,-0.509666779,0
AT2G34470,-0.509686371,0
AT2G45380,-0.509725052,0
AT4G02590,-0.509911425,0
AT3G09390,-0.510119399,0
AT3G62030,-0.510231424,0
AT1G20816,-0.510321848,0
AT5G02530,-0.510322852,0
AT2G35780,-0.510392177,0
AT1G21560,-0.510400717,0
AT2G27470,-0.510603165,0
AT4G29820,-0.510986963,0
AT4G15450,-0.511036194,0
AT5G03455,-0.511061814,0
AT3G58990,-0.51116781,0
AT1G53785,-0.511247182,0
AT5G41210,-0.511332079,0
AT3G06980,-0.511367747,0
AT3G22320,-0.511371765,0
AT2G26550,-0.511496851,0
AT1G42960,-0.511814841,0
AT1G29418,-0.511822878,0
AT5G18590,-0.511855531,0
AT3G61490,-0.511913302,0
AT1G04350,-0.511945955,0
AT1G15230,-0.511995185,0
AT4G01800,-0.512016787,0
AT5G41340,-0.512042407,0
AT4G10030,-0.512048937,0
AT3G12930,-0.512124793,0
AT1G49140,-0.512246362,0
AT5G08330,-0.512350349,0
AT1G20920,-0.512488998,0
AT2G36145,-0.512605544,0
AT1G74960,-0.512607051,0
AT2G44640,-0.512723597,0
AT2G44670,-0.512803471,0
AT5G19460,-0.512816533,0
AT5G23280,-0.512910975,0
AT2G05210,-0.513059169,0
AT1G16960,-0.51314055,0
AT1G64390,-0.513333956,0
AT1G15000,-0.51363587,0
AT4G26840,-0.513773515,0
AT3G19710,-0.51384083,0
AT5G41960,-0.51386846,0
AT2G23670,-0.513934268,0
AT4G13220,-0.514078946,0
AT2G33770,-0.5141759,0
AT2G28950,-0.514246732,0
AT1G54040,-0.514305005,0
AT5G50310,-0.514369306,0
AT1G72410,-0.514431095,0
AT5G20130,-0.51446626,0
AT1G72645,-0.51449188,0
AT3G18270,-0.514566228,0
AT3G22425,-0.514621487,0
AT3G23690,-0.514724972,0
AT3G23760,-0.514841015,0
AT3G60750,-0.514972129,0
AT5G57815,-0.515062051,0
AT4G08280,-0.515162521,0
AT5G49230,-0.515179601,0
AT3G09210,-0.515340354,0
AT3G60340,-0.515435299,0
AT4G35760,-0.515579474,0
AT1G60800,-0.515587512,0
AT1G67365,-0.515660855,0
AT1G50732,-0.515726161,0
AT2G45470,-0.515907511,0
AT3G20810,-0.516035611,0
AT2G04690,-0.516296332,0
AT1G06760,-0.516341544,0
AT2G38450,-0.516547509,0
AT2G02130,-0.516585185,0
AT2G44870,-0.516725341,0
AT3G07200,-0.516743426,0
AT3G50670,-0.516775074,0
AT1G69700,-0.516796676,0
AT1G74730,-0.516800192,0
AT1G59980,-0.516818779,0
AT1G12240,-0.516914729,0
AT2G03890,-0.516937837,0
AT1G19715,-0.516998622,0
AT1G76100,-0.517005654,0
AT5G50580,-0.517037805,0
AT3G22190,-0.517097083,0
AT1G35780,-0.517129736,0
AT3G26618,-0.51717545,0
AT5G66090,-0.51719052,0
AT5G64380,-0.51769438,0
AT1G32990,-0.517810424,0
AT1G22790,-0.517816955,0
AT5G19940,-0.517973186,0
AT5G02380,-0.518095761,0
AT1G62770,-0.518175635,0
AT3G20230,-0.518446403,0
AT4G13840,-0.518446905,0
AT4G16442,-0.51844791,0
AT4G39460,-0.518569982,0
AT3G16360,-0.518745303,0
AT4G31420,-0.518876417,0
AT3G17120,-0.518958803,0
AT5G03050,-0.519195914,0
AT5G09225,-0.519288849,0
AT1G01920,-0.519351643,0
AT5G14680,-0.51935315,0
AT5G58200,-0.519438048,0
AT3G49870,-0.519565645,0
AT1G62250,-0.519793211,0
AT2G01400,-0.519845958,0
AT4G16420,-0.51986555,0
AT2G32560,-0.519917293,0
AT4G08685,-0.519917293,0
AT4G13575,-0.520056444,0
AT3G46980,-0.520201624,0
AT4G00040,-0.520298579,0
AT4G16140,-0.520660775,0
AT3G55080,-0.520710508,0
AT3G14240,-0.52071955,0
AT4G10470,-0.520746677,0
AT4G18130,-0.520782847,0
AT2G04280,-0.520858702,0
AT1G09795,-0.520928027,0
AT2G02780,-0.521010413,0
AT4G39040,-0.521303787,0
AT3G06150,-0.521420333,0
AT5G52100,-0.521558982,0
AT4G13670,-0.521560489,0
AT2G32487,-0.521573551,0
AT4G30620,-0.521624288,0
AT4G35920,-0.521707176,0
AT3G24590,-0.521871948,0
AT2G28230,-0.522314019,0
AT2G38550,-0.522388869,0
AT2G21385,-0.522408964,0
AT4G13150,-0.522411978,0
AT3G17650,-0.522451664,0
AT1G54080,-0.522466734,0
AT4G00670,-0.522513453,0
AT1G23080,-0.522706859,0
AT2G33050,-0.522925382,0
AT5G20520,-0.522972604,0
AT1G10890,-0.523000735,0
AT1G77480,-0.523125319,0
AT3G25530,-0.523136873,0
AT5G20040,-0.523150939,0
AT3G07410,-0.523187611,0
AT5G11690,-0.523306668,0
AT4G01330,-0.523397092,0
AT1G21600,-0.523500577,0
AT2G34310,-0.52357392,0
AT4G25020,-0.52357392,0
AT1G14150,-0.523836149,0
AT5G26880,-0.523870309,0
AT2G38120,-0.523901454,0
AT5G55300,-0.523916525,0
AT5G55160,-0.523961737,0
AT2G05920,-0.524040606,0
AT5G04230,-0.52425712,0
AT2G30100,-0.524331971,0
AT1G63290,-0.524478156,0
AT3G02690,-0.524493226,0
AT4G12030,-0.52454095,0
AT1G75500,-0.524656491,0
AT5G16400,-0.52473536,0
AT3G62290,-0.524791624,0
AT2G38680,-0.524808202,0
AT5G11330,-0.524819253,0
AT1G49010,-0.525136238,0
AT5G35490,-0.525235202,0
AT2G38400,-0.525242737,0
AT5G63700,-0.525350241,0
AT4G38160,-0.525368828,0
AT4G18480,-0.525481857,0
AT1G10910,-0.525643112,0
AT4G09500,-0.525791809,0
AT1G61600,-0.525974163,0
AT5G43810,-0.52610377,0
AT3G04730,-0.526173597,0
AT2G33620,-0.526192687,0
AT5G62690,-0.526254978,0
AT2G25840,-0.526337867,0
AT4G11980,-0.526605621,0
AT2G33990,-0.526953249,0
AT1G25098,-0.526988414,0
AT3G02510,-0.526990925,0
AT1G48030,-0.527046687,0
AT1G03310,-0.527086875,0
AT1G74670,-0.527235571,0
AT2G47450,-0.52730138,0
AT1G68760,-0.527448569,0
AT5G13730,-0.527488255,0
AT1G71790,-0.527545523,0
AT5G11800,-0.527704267,0
AT2G39330,-0.527818803,0
AT3G08030,-0.527972021,0
AT5G63710,-0.5280956,0
AT5G40160,-0.528100623,0
AT1G50840,-0.528132272,0
AT1G20090,-0.528265395,0
AT5G47780,-0.528281973,0
AT3G46610,-0.52828348,0
AT4G27230,-0.528283982,0
AT3G57300,-0.529038516,0
AT1G08460,-0.529127935,0
AT2G35500,-0.529340431,0
AT5G53020,-0.529408751,0
AT4G00780,-0.529415281,0
AT5G67380,-0.529686552,0
AT1G01860,-0.529705139,0
AT1G24996,-0.529805609,0
AT2G18390,-0.529918639,0
AT5G39800,-0.529964353,0
AT4G19100,-0.530064321,0
AT1G25420,-0.530359705,0
AT1G35612,-0.530518448,0
AT5G22740,-0.530550599,0
AT2G33220,-0.530646548,0
AT3G47510,-0.530777663,0
AT5G49640,-0.530890692,0
AT5G51550,-0.531033863,0
AT3G12520,-0.531037881,0
AT3G26070,-0.531051445,0
AT1G64720,-0.531128305,0
AT3G48170,-0.531186578,0
AT1G29420,-0.531213705,0
AT4G03200,-0.531405604,0
AT5G16810,-0.53145182,0
AT2G34490,-0.531468398,0
AT3G54910,-0.531497534,0
AT2G24270,-0.531504567,0
AT5G01240,-0.531567362,0
AT1G75840,-0.531587958,0
AT5G13300,-0.531751223,0
AT1G22430,-0.531825571,0
AT1G24040,-0.531933577,0
AT1G19396,-0.532013451,0
AT3G12345,-0.53206017,0
AT1G49032,-0.532086292,0
AT4G33550,-0.532087799,0
AT2G37120,-0.53212648,0
AT5G47840,-0.532155115,0
AT4G27130,-0.532241017,0
AT1G51550,-0.532278693,0
AT5G55220,-0.532651439,0
AT3G48410,-0.532661486,0
AT1G20160,-0.532854892,0
AT3G25480,-0.532858911,0
AT5G50250,-0.532878503,0
AT1G06900,-0.533051312,0
AT5G20935,-0.533092505,0
AT2G37450,-0.53341803,0
AT2G37200,-0.533655643,0
AT4G06701,-0.533806349,0
AT3G56010,-0.533812377,0
AT5G10920,-0.533876678,0
AT3G02540,-0.53412032,0
AT3G43540,-0.534175578,0
AT3G10220,-0.534247415,0
AT2G27385,-0.53425696,0
AT1G35420,-0.534438309,0
AT5G06180,-0.534629203,0
AT4G18400,-0.534631213,0
AT4G38490,-0.53479297,0
AT4G30580,-0.534836173,0
AT3G16770,-0.534949202,0
AT4G09830,-0.534987883,0
AT1G11860,-0.535259154,0
AT5G25890,-0.535286281,0
AT4G27900,-0.535302356,0
AT1G12900,-0.535584679,0
AT1G11530,-0.535698713,0
AT1G79790,-0.536220155,0
AT1G74040,-0.536265869,0
AT2G32440,-0.536519558,0
AT1G44000,-0.536804392,0
AT3G23830,-0.537173621,0
AT5G56380,-0.537182664,0
AT4G14385,-0.537233904,0
AT2G33815,-0.537250481,0
AT2G05185,-0.537295191,0
AT4G01150,-0.537365018,0
AT3G26380,-0.537764891,0
AT2G46910,-0.537814624,0
AT3G24490,-0.537833713,0
AT3G56860,-0.537989443,0
AT1G13820,-0.538000494,0
AT2G24060,-0.538049725,0
AT1G55360,-0.538186365,0
AT2G20740,-0.538226051,0
AT1G32550,-0.538229065,0
AT1G20810,-0.538515406,0
AT1G28330,-0.538664605,0
AT1G29470,-0.538670131,0
AT3G62910,-0.538681183,0
AT3G09900,-0.538690727,0
AT1G53780,-0.538825358,0
AT2G43750,-0.538850476,0
AT3G04260,-0.538859518,0
AT1G55000,-0.538892171,0
AT2G46640,-0.539017759,0
AT1G06010,-0.539102154,0
AT1G13448,-0.539190066,0
AT2G42040,-0.539206644,0
AT1G75280,-0.539232264,0
AT1G53480,-0.539265922,0
AT3G01850,-0.539614052,0
AT1G19570,-0.539647208,0
AT4G28660,-0.539682372,0
AT4G22160,-0.539888337,0
AT4G14720,-0.539896375,0
AT4G16060,-0.540007395,0
AT1G78040,-0.540188242,0
AT2G35040,-0.540423845,0
AT3G28300,-0.540427362,0
AT1G52400,-0.540625289,0
AT5G30510,-0.540977438,0
AT5G62880,-0.541233638,0
AT4G24770,-0.541266794,0
AT1G15810,-0.541344658,0
AT4G20130,-0.541413983,0
AT1G60950,-0.541457688,0
AT1G26670,-0.541583276,0
AT3G54470,-0.541708864,0
AT3G02630,-0.541713385,0
AT2G25310,-0.541809837,0
AT5G18850,-0.541969083,0
AT5G66055,-0.54207508,0
AT3G54360,-0.542204687,0
AT3G28290,-0.542264969,0
AT5G47810,-0.542366444,0
AT5G09990,-0.542468924,0
AT1G09770,-0.542471436,0
AT4G02260,-0.542473948,0
AT5G25460,-0.542488516,0
AT5G53490,-0.542561357,0
AT4G30450,-0.542562864,0
AT1G03365,-0.54260456,0
AT4G13560,-0.542621137,0
AT3G16420,-0.542632692,0
AT3G13740,-0.542676899,0
AT3G63250,-0.542812032,0
AT1G02350,-0.542829112,0
AT1G71340,-0.542869802,0
AT3G48680,-0.542905469,0
AT3G13226,-0.542948169,0
AT1G19920,-0.542985846,0
AT5G65050,-0.543080288,0
AT1G53800,-0.543169205,0
AT2G30695,-0.543280225,0
AT4G29070,-0.54333046,0
AT4G00752,-0.54357812,0
AT4G10280,-0.54382578,0
AT3G16750,-0.543839343,0
AT1G32583,-0.544000599,0
AT1G33810,-0.544336171,0
AT4G18370,-0.54437234,0
AT3G09980,-0.544385904,0
AT2G18710,-0.54439796,0
AT4G36660,-0.54454314,0
AT2G38695,-0.544566751,0
AT2G26860,-0.544599404,0
AT1G59840,-0.544622009,0
AT4G14965,-0.544748602,0
AT4G13572,-0.54476719,0
AT1G55340,-0.544839026,0
AT1G30230,-0.544957581,0
AT1G56200,-0.544960093,0
AT1G03160,-0.544985211,0
AT3G18420,-0.545309731,0
AT3G03330,-0.54538207,0
AT3G61820,-0.545468977,0
AT1G05190,-0.545480531,0
AT5G02120,-0.545487061,0
AT3G18390,-0.545522728,0
AT4G03060,-0.545641786,0
AT2G18735,-0.545656354,0
AT1G32900,-0.545736731,0
AT3G23340,-0.545765867,0
AT2G45250,-0.54577491,0
AT4G18440,-0.545839211,0
AT4G13100,-0.545854784,0
AT5G19140,-0.546026086,0
AT2G34300,-0.54603111,0
AT1G64860,-0.546052209,0
AT5G05060,-0.546071298,0
AT1G04590,-0.546122036,0
AT3G15095,-0.546130073,0
AT1G34430,-0.546175285,0
AT1G19550,-0.546332019,0
AT1G65032,-0.546346085,0
AT4G17190,-0.5467123,0
AT2G26930,-0.546884105,0
AT3G48185,-0.547116695,0
AT5G52780,-0.547413585,0
AT4G33000,-0.547582376,0
AT2G42780,-0.547686865,0
AT1G64360,-0.547789345,0
AT4G09510,-0.547915938,0
AT5G46840,-0.547936535,0
AT1G55370,-0.547989784,0
AT4G17880,-0.548027963,0
AT3G11100,-0.548138983,0
AT3G61870,-0.548291196,0
AT3G45900,-0.548541368,0
AT2G40300,-0.548654397,0
AT2G26900,-0.548687552,0
AT5G52190,-0.548724224,0
AT4G38430,-0.548728745,0
AT1G18730,-0.548852324,0
AT2G33800,-0.548914114,0
AT2G37790,-0.549047237,0
AT1G55670,-0.549119074,0
AT1G47310,-0.549385321,0
AT5G55230,-0.549523468,0
AT1G25054,-0.54965207,0
AT3G15190,-0.549840955,0
AT3G59320,-0.549893702,0
AT2G40970,-0.549904252,0
AT1G15885,-0.549932383,0
AT4G13495,-0.550005727,0
AT5G26980,-0.550172006,0
AT2G40640,-0.550384501,0
AT3G09650,-0.550705505,0
AT1G10600,-0.550754233,0
AT5G53580,-0.551282708,0
AT4G28820,-0.551384686,0
AT1G60525,-0.551387198,0
AT2G42210,-0.551798122,0
AT5G58490,-0.552003585,0
AT5G59440,-0.552009613,0
AT3G62010,-0.552096018,0
AT5G27360,-0.552216582,0
AT1G51630,-0.552265311,0
AT5G65020,-0.552285907,0
AT1G06550,-0.552449172,0
AT3G01690,-0.552465247,0
AT1G24764,-0.552666188,0
AT2G01220,-0.552859092,0
AT5G02670,-0.552901792,0
AT4G34881,-0.552998244,0
AT5G20510,-0.553299153,0
AT5G51970,-0.553480503,0
AT1G56090,-0.553498587,0
AT2G31585,-0.553643265,0
AT5G05550,-0.553663862,0
AT4G37300,-0.55390047,0
AT3G60910,-0.554394785,0
AT4G39350,-0.554408349,0
AT5G44650,-0.554806212,0
AT5G64350,-0.554815255,0
AT3G16000,-0.554834846,0
AT4G01995,-0.555103605,0
AT2G44920,-0.555142789,0
AT1G24070,-0.555180465,0
AT3G33520,-0.555230701,0
AT2G23672,-0.555244264,0
AT3G58610,-0.555270889,0
AT4G17050,-0.555299021,0
