GeneID,Cor,P
AT5G25260,0.688388914,0
AT3G11340,0.680383416,0
AT5G19880,0.679328475,0
AT2G19190,0.676236492,0
AT1G35230,0.675958188,0
AT2G43570,0.667947165,0
AT1G67800,0.666749053,0
AT5G16230,0.665203815,0
AT3G13600,0.664903408,0
AT1G78080,0.662047028,0
AT5G50200,0.656139357,0
AT4G29810,0.653658235,0
AT4G35180,0.653051895,0
AT1G21240,0.652345084,0
AT3G13610,0.652067283,0
AT2G39530,0.650871683,0
AT2G39210,0.650424086,0
AT4G20000,0.649929269,0
AT3G46280,0.649580133,0
AT4G23150,0.648308175,0
AT2G18680,0.648225287,0
AT4G08555,0.646019957,0
AT1G51800,0.645660273,0
AT2G17760,0.644602317,0
AT2G39518,0.643862351,0
AT3G55150,0.643459966,0
AT4G10955,0.642838556,0
AT1G53625,0.642389452,0
AT4G21120,0.642229202,0
AT1G14080,0.641049677,0
AT5G55610,0.640806035,0
AT1G66880,0.639411503,0
AT5G13320,0.637722593,0
AT3G27890,0.636974589,0
AT4G10960,0.636237637,0
AT1G61420,0.635926681,0
AT1G48210,0.635832238,0
AT1G21245,0.635388158,0
AT5G64020,0.634659244,0
AT2G04070,0.634214661,0
AT3G24050,0.633713816,0
AT3G04670,0.633325999,0
AT2G31020,0.63290352,0
AT3G22750,0.632059567,0
AT2G01670,0.631782268,0
AT1G02360,0.631616492,0
AT3G57240,0.631146792,0
AT1G01560,0.63110811,0
AT5G06320,0.629919041,0
AT4G22520,0.629702024,0
AT2G29110,0.628512955,0
AT3G04010,0.627884009,0
AT1G26410,0.627371106,0
AT1G11310,0.625860531,0
AT5G01550,0.625682698,0
AT1G47890,0.625545053,0
AT1G52200,0.625181852,0
AT5G24210,0.624816641,0
AT5G42830,0.622774576,0
AT4G01870,0.622750966,0
AT4G35480,0.622432976,0
AT1G09932,0.622163212,0
AT1G54270,0.621606103,0
AT5G40780,0.620903311,0
AT5G48657,0.62006187,0
AT5G60950,0.618132332,0
AT1G76980,0.617959522,0
AT2G33490,0.617517452,0
AT5G62620,0.616019435,0
AT5G19240,0.613968328,0
AT3G09270,0.613864843,0
AT1G76040,0.613820134,0
AT5G16235,0.613254986,0
AT3G53150,0.611847896,0
AT3G13330,0.611685636,0
AT3G12830,0.611622841,0
AT4G23220,0.611483187,0
AT1G65500,0.611416877,0
AT5G11210,0.611282748,0
AT4G00700,0.611141587,0
AT1G09560,0.611046642,0
AT5G53120,0.610747742,0
AT3G13790,0.610500585,0
AT5G46050,0.609900273,0
AT1G51920,0.609881183,0
AT1G08050,0.609087968,0
AT1G54170,0.609034216,0
AT5G54310,0.608920182,0
AT1G65690,0.606545057,0
AT1G63530,0.606288355,0
AT5G46230,0.606262735,0
AT1G21380,0.604737591,0
AT3G18250,0.604605472,0
AT5G05190,0.604198566,0
AT5G52810,0.602880894,0
AT4G35170,0.602140928,0
AT1G02580,0.601444164,0
AT4G14450,0.599865771,0
AT4G14365,0.599740685,0
AT1G66460,0.599398583,0
AT5G25910,0.599230295,0
AT3G54960,0.599125805,0
AT4G22530,0.598646058,0
AT4G39830,0.597511745,0
AT1G02520,0.597503205,0
AT2G17730,0.597463017,0
AT2G40180,0.596856174,0
AT3G60540,0.596787352,0
AT1G03850,0.596487447,0
AT5G24110,0.596264402,0
AT3G14470,0.594533796,0
AT4G28390,0.594212793,0
AT3G60420,0.593549687,0
AT5G62480,0.59288206,0
AT1G55240,0.592626362,0
AT4G23470,0.592322438,0
AT1G68690,0.591944669,0
AT1G61415,0.591903978,0
AT5G37600,0.591560369,0
AT3G50480,0.591114279,0
AT2G39200,0.59106957,0
AT1G29640,0.590818896,0
AT3G13433,0.5895389,0
AT5G67340,0.588738149,0
AT3G48640,0.588717051,0
AT1G30730,0.588596486,0
AT5G06839,0.588544241,0
AT1G23040,0.588418151,0
AT3G13950,0.588308135,0
AT2G39980,0.588012249,0
AT1G77510,0.587579221,0
AT4G20110,0.587111028,0
AT2G47730,0.586503181,0
AT4G25110,0.58613998,0
AT1G19270,0.5861229,0
AT3G09520,0.586089744,0
AT1G32940,0.585748647,0
AT4G11890,0.585416089,0
AT5G64120,0.585304567,0
AT1G64060,0.584647991,0
AT1G51890,0.584437003,0
AT2G17220,0.584367678,0
AT5G04980,0.583623693,0
AT1G51850,0.583204229,0
AT1G61250,0.582643603,0
AT5G48400,0.582541123,0
AT3G60966,0.582472803,0
AT4G28490,0.58246376,0
AT4G39610,0.58214979,0
AT1G78300,0.582133212,0
AT1G44130,0.581591173,0
AT1G51790,0.581235005,0
AT1G62840,0.58109736,0
AT4G11170,0.580244867,0
AT4G15417,0.580110739,0
AT3G16565,0.579608386,0
AT3G19580,0.578931716,0
AT4G25640,0.578893035,0
AT4G29950,0.578853851,0
AT4G37900,0.578556961,0
AT2G43620,0.577770778,0
AT1G13480,0.577109179,0
AT4G23190,0.576889651,0
AT2G17120,0.575994458,0
AT5G28830,0.575771916,0
AT5G47070,0.575186674,0
AT1G77500,0.57472451,0
AT1G34180,0.57463057,0
AT4G10500,0.574328153,0
AT2G13790,0.574154339,0
AT5G01100,0.573815251,0
AT5G14540,0.57374894,0
AT2G40740,0.573521876,0
AT1G33960,0.572805019,0
AT1G28510,0.572569415,0
AT1G17180,0.572439306,0
AT2G36690,0.571947,0
AT3G47480,0.57185959,0
AT5G62640,0.571723453,0
AT2G16700,0.571514976,0
AT5G08160,0.571489858,0
AT1G51860,0.571479811,0
AT3G25882,0.571107568,0
AT3G13080,0.570844837,0
AT4G35110,0.570545937,0
AT2G29100,0.570146567,0
AT3G22240,0.569901418,0
AT1G21390,0.569631655,0
AT3G13310,0.569496019,0
AT1G18890,0.568859036,0
AT1G14880,0.568755551,0
AT1G71697,0.568575709,0
AT4G03450,0.56785232,0
AT2G33580,0.56762174,0
AT3G01290,0.567592101,0
AT4G21380,0.567513734,0
AT4G26990,0.567118885,0
AT4G37370,0.567062621,0
AT4G22970,0.566834553,0
AT1G21750,0.566659734,0
AT1G32950,0.566641649,0
AT1G30850,0.566549719,0
AT1G11790,0.566159391,0
AT5G64810,0.566098104,0
AT2G46400,0.565928308,0
AT4G28420,0.56559575,0
AT5G60800,0.56558068,0
AT4G27680,0.565561088,0
AT4G26120,0.565493773,0
AT1G79450,0.565215972,0
AT5G47120,0.565084857,0
AT5G58940,0.56452825,0
AT3G12700,0.564515691,0
AT5G59530,0.564283102,0
AT5G26920,0.5638983,0
AT1G51930,0.563543136,0
AT4G00970,0.563465774,0
AT4G26750,0.563410012,0
AT4G23210,0.563405491,0
AT4G01660,0.563402477,0
AT5G35580,0.563310044,0
AT5G41660,0.562692652,0
AT1G02400,0.562459058,0
AT4G11470,0.562174224,0
AT2G31570,0.562044617,0
AT5G06310,0.561664838,0
AT4G01720,0.561279533,0
AT1G76970,0.561149926,0
AT1G68160,0.561074573,0
AT5G10840,0.560724433,0
AT2G43790,0.560491844,0
AT5G45000,0.560330086,0
AT4G03460,0.560299443,0
AT3G20520,0.560207512,0
AT5G54710,0.559910119,0
AT4G24400,0.559768958,0
AT1G65610,0.559716713,0
AT5G02490,0.559533354,0
AT4G14370,0.559069682,0
AT3G49780,0.558994832,0
AT1G51820,0.558935554,0
AT2G28400,0.558752698,0
AT2G47130,0.558697439,0
AT1G36622,0.55826642,0
AT4G34050,0.558222213,0
AT5G53110,0.557518919,0
AT2G35000,0.557425983,0
AT2G30250,0.556816127,0
AT5G05340,0.556612171,0
AT3G26210,0.556499644,0
AT5G17330,0.556218327,0
AT1G73810,0.556205768,0
AT3G07570,0.556132424,0
AT5G01540,0.556099771,0
AT1G75040,0.55549745,0
AT1G75170,0.555424107,0
AT1G16510,0.555165897,0
AT1G78310,0.555039304,0
AT2G14610,0.554972994,0
AT5G03160,0.554795663,0
AT3G15760,0.554498772,0
AT5G51640,0.554358616,0
AT3G48630,0.553861286,0
AT2G26440,0.553219781,0
AT4G04221,0.55311278,0
AT1G67520,0.55258531,0
AT1G21310,0.552569737,0
AT3G13380,0.552166347,0
AT5G43190,0.552111591,0
AT2G45010,0.551828766,0
AT1G74790,0.551042081,0
AT5G22270,0.550949648,0
AT3G48650,0.550916995,0
AT3G57890,0.550842647,0
AT2G18690,0.550767294,0
AT4G40020,0.550207673,0
AT5G49680,0.549710343,0
AT1G26420,0.549670657,0
AT2G02930,0.549484284,0
AT1G55210,0.549421993,0
AT1G66570,0.549371757,0
AT4G19970,0.549240643,0
AT1G30630,0.549178351,0
AT1G66160,0.549114553,0
AT5G11090,0.549003533,0
AT4G23850,0.548866893,0
AT5G42380,0.548495151,0
AT2G25440,0.548386141,0
AT2G02390,0.548354995,0
AT2G24570,0.547980742,0
AT2G40340,0.547788341,0
AT3G02880,0.547759204,0
AT3G08970,0.547306082,0
AT5G44585,0.547206616,0
AT4G28370,0.546719836,0
AT4G23215,0.546702756,0
AT5G25440,0.546661563,0
AT1G36600,0.546132585,0
AT4G28540,0.545878394,0
AT3G22620,0.545787971,0
AT4G14950,0.545611645,0
AT2G39710,0.545461944,0
AT5G54100,0.545186152,0
AT3G51330,0.545167063,0
AT4G28460,0.545069104,0
AT1G15860,0.545065587,0
AT5G24205,0.544914881,0
AT2G27660,0.544488384,0
AT4G25690,0.544444177,0
AT3G51360,0.544295982,0
AT4G34390,0.54426986,0
AT1G09930,0.544199531,0
AT4G24190,0.544183455,0
AT3G29400,0.544118652,0
AT1G73540,0.544020693,0
AT5G24206,0.543973974,0
AT5G64440,0.543788606,0
AT2G20110,0.543758967,0
AT1G80450,0.543532406,0
AT1G12360,0.543521354,0
AT3G52930,0.543496739,0
AT5G57035,0.543385719,0
AT4G10510,0.54256186,0
AT4G23810,0.54202384,0
AT2G28570,0.541339132,0
AT2G13810,0.541217563,0
AT1G65481,0.540319858,0
AT3G22400,0.540319858,0
AT5G06740,0.540179199,0
AT5G61210,0.539981775,0
AT5G61010,0.539784852,0
AT2G02220,0.539209156,0
AT5G67450,0.53892834,0
AT1G07000,0.538184858,0
AT1G57640,0.537759365,0
AT3G01840,0.537669946,0
AT4G37070,0.537602128,0
AT1G02940,0.537559428,0
AT5G57480,0.537555912,0
AT4G18250,0.536935506,0
AT2G18000,0.536823984,0
AT2G28710,0.536503985,0
AT1G21370,0.536470327,0
AT3G16785,0.53639196,0
AT5G16830,0.536337706,0
AT4G04220,0.536295006,0
AT1G09210,0.536051365,0
AT1G18390,0.536045336,0
AT2G33480,0.535926781,0
AT1G36610,0.535843893,0
AT4G25940,0.53570675,0
AT5G54860,0.53564898,0
AT5G15650,0.535570613,0
AT1G73805,0.535560566,0
AT5G45550,0.535385747,0
AT5G58840,0.535334507,0
AT4G39230,0.535285779,0
AT3G12910,0.535201383,0
AT2G47170,0.535176266,0
AT1G76430,0.535157679,0
AT5G37490,0.534891431,0
AT1G30700,0.534540287,0
AT1G51915,0.53427404,0
AT1G24140,0.533854072,0
AT1G22890,0.533758123,0
AT1G69250,0.533355738,0
AT3G17609,0.533223117,0
AT1G02450,0.533174891,0
AT5G49520,0.53286293,0
AT3G23170,0.532808173,0
AT1G02920,0.532150593,0
AT1G72070,0.53209232,0
AT5G64310,0.532007925,0
AT5G39100,0.531875806,0
AT4G27470,0.531687424,0
AT1G34190,0.531330753,0
AT5G39050,0.531304631,0
AT4G32870,0.531123784,0
AT4G04510,0.531005228,0
AT2G02810,0.53094796,0
AT3G04070,0.530851508,0
AT5G45090,0.530460175,0
AT5G44990,0.530455654,0
AT1G14540,0.530393865,0
AT5G39090,0.530387837,0
AT1G18980,0.530264258,0
AT3G46090,0.530166299,0
AT4G01320,0.530109031,0
AT2G25470,0.529714684,0
AT2G13800,0.529583067,0
AT4G18010,0.529210321,0
AT3G45620,0.528944576,0
AT5G54720,0.528835063,0
AT4G14610,0.52878734,0
AT1G18860,0.528606493,0
AT4G30490,0.528522098,0
AT3G24420,0.528422632,0
AT4G01950,0.528315128,0
AT1G80610,0.528305583,0
AT3G11402,0.528256353,0
AT3G25600,0.52823023,0
AT3G16510,0.528217169,0
AT5G39040,0.52821516,0
AT5G20010,0.527879086,0
AT1G08450,0.527684173,0
AT2G16430,0.52759827,0
AT1G30470,0.527582697,0
AT5G48380,0.52742094,0
AT4G02660,0.5269,0
AT1G04980,0.52650515,0
AT1G54280,0.526256988,0
AT1G66610,0.525883739,0
AT3G53120,0.525631558,0
AT5G24910,0.525496425,0
AT1G01340,0.525439659,0
AT2G37150,0.525316583,0
AT4G38560,0.525183962,0
AT3G07195,0.52490817,0
AT3G26500,0.524481672,0
AT3G54420,0.524348549,0
AT5G66390,0.524196838,0
AT2G47000,0.523867294,0
AT2G34580,0.523786918,0
AT2G17450,0.52360155,0
AT5G39510,0.523449839,0
AT5G53830,0.523440294,0
AT2G20880,0.522725948,0
AT2G47490,0.522705352,0
AT3G46620,0.522578759,0
AT1G59590,0.522420015,0
AT5G40690,0.52214774,0
AT2G03510,0.522103031,0
AT3G47090,0.521706172,0
AT4G11260,0.521658951,0
AT2G04050,0.521600678,0
AT5G25820,0.521316848,0
AT3G52748,0.521313332,0
AT5G60630,0.521252547,0
AT5G64510,0.521050099,0
AT1G78570,0.520811983,0
AT2G18670,0.520756724,0
AT3G60470,0.520610037,0
AT3G04060,0.520603507,0
AT2G02340,0.520542722,0
AT1G61260,0.520329724,0
AT1G71530,0.520073022,0
AT5G54730,0.520071515,0
AT5G41740,0.520003697,0
AT4G11480,0.519997669,0
AT3G22910,0.51988263,0
AT1G63500,0.519793714,0
AT3G22600,0.519488283,0
AT5G11650,0.519352145,0
AT1G75990,0.519287342,0
AT5G54140,0.519272774,0
AT3G59700,0.519268755,0
AT2G33080,0.518769918,0
AT5G60790,0.518555916,0
AT2G37750,0.518076671,0
