GeneID,Cor,P-Value,Description,GO
BCIN10G00480,0.596933034,0,surface SP1 [Botrytis cinerea T4],no GO terms
BCIN05G06830,0.542291594,0,chitin binding [Botrytis cinerea 1],no GO terms
BCIN06G02510,0.536614502,0,serine carboxypeptidase (secreted ) [Botrytis cinerea T4],P:proteolysis; F:serine-type carboxypeptidase activity
BCIN12G02910,0.51627021,0,cellobiose dehydrogenase,F:oxidoreductase activity; F:ion binding
BCIN12G06380,0.503474776,0,"BcBOT1, CND5p",F:oxidoreductase activity; F:ion binding
BCIN06G00620,0.502866426,0,tripeptidyl peptidase a,F:peptidase activity
BCIN15G03870,0.496585004,0,[Botrytis cinerea ],"P:carbohydrate metabolic process; C:extracellular region; F:hydrolase activity, acting on glycosyl bonds"
BCIN09G01110,0.492608378,0,hypothetical protein BC1G_14702,"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; C:extracellular region; F:cellulose binding"
BCIN06G04940,0.490482922,0,retinol dehydrogenase 8,no GO terms
BCIN09G06750,0.488239916,0,glycoside hydrolase family 61,F:molecular_function
BCIN01G05960,0.484280872,0,pth11-like integral membrane,C:cellular_component
BCIN12G06430,0.484222096,0,"BcBOT7, short-chain dehydrogenase reductase SDR [Botrytis cinerea T4]",C:cellular_component
BCIN12G01030,0.483403763,0,DUF1275 domain [Botrytis cinerea T4],C:cellular_component
BCIN05G08330,0.480159567,0,carbohydrate esterase family 12 [Botrytis cinerea T4],F:molecular_function
BCIN01G04580,0.48003197,0,hypothetical protein BofuT4_P163510,no GO terms
BCIN08G05200,0.475266147,0,cytochrome p450 alkane hydroxylase,F:oxidoreductase activity; F:ion binding; C:cellular_component
BCIN14G00850,0.472011904,0,endo-polygalacturonase precursor [Botrytis cinerea ],"P:carbohydrate metabolic process; P:cell wall organization or biogenesis; C:extracellular region; F:hydrolase activity, acting on glycosyl bonds"
BCIN09G02640,0.471153382,0,glycoside hydrolase family 3 [Botrytis cinerea T4],"P:carbohydrate metabolic process; P:catabolic process; F:hydrolase activity, acting on glycosyl bonds"
BCIN06G01060,0.470400355,0,hypothetical protein BC1G_01082 [Botrytis cinerea B050],C:cellular_component
BCIN05G04960,0.46457507,0,nitrilase [Botrytis cinerea T4],"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; P:biological_process"
BCIN08G02680,0.46085816,0,scp-like extracellular [Botrytis cinerea 1],no GO terms
BCIN02G01580,0.460385445,0,CAIB BAIF family enzyme,F:molecular_function
BCIN04G02970,0.457450699,0,chorismate synthase [Botrytis cinerea T4],P:aromatic amino acid family biosynthetic process; F:chorismate synthase activity; P:chorismate biosynthetic process
BCIN02G00420,0.457300998,0,glycoside hydrolase family 3,"P:carbohydrate metabolic process; P:transmembrane transport; C:cellular_component; F:hydrolase activity, acting on glycosyl bonds"
BCIN08G03320,0.456011458,0,extracellular conserved serine-rich [Botrytis cinerea 1],no GO terms
BCIN06G02540,0.453751371,0,rpel repeat [Botrytis cinerea 1],no GO terms
BCIN12G02040,0.450030443,0,aspartic protease precursor (secreted ) [Botrytis cinerea T4],F:peptidase activity
BCIN08G03610,0.449515531,0,subunit IV of cytochrome c oxidase [Botrytis cinerea ],F:transmembrane transporter activity; F:oxidoreductase activity; C:mitochondrion
BCIN16G02790,0.447632712,0,peptidase activity,F:peptidase activity
BCIN10G05710,0.446592841,0,glycoside hydrolase family 32 [Botrytis cinerea T4],"P:carbohydrate metabolic process; F:hydrolase activity, acting on glycosyl bonds"
BCIN03G04010,0.446421036,0,"endo-beta-1,4-glucanase precursor [Botrytis cinerea]",F:molecular_function
BCIN12G01780,0.44582826,0,isopentenyl-diphosphate delta-isomerase [Botrytis cinerea 1],F:isopentenyl-diphosphate delta-isomerase activity; P:isoprenoid biosynthetic process; F:hydrolase activity
BCIN12G06410,0.445313348,0,"BcBOT5,BCL5p","F:transferase activity, transferring acyl groups"
BCIN12G06400,0.44476729,0,"BcBOT3,CND11p",F:oxidoreductase activity; F:ion binding; C:cellular_component
BCIN02G03090,0.443326039,0,glycoside hydrolase family 1,"P:carbohydrate metabolic process; F:hydrolase activity, acting on glycosyl bonds"
BCIN11G02730,0.442762901,0,CDP-alcohol phosphatidyltransferase [Botrytis cinerea ],no GO terms
BCIN10G05700,0.440519393,0,[Botrytis cinerea ],no GO terms
BCIN03G02510,0.438527061,0,hypothetical protein BC1G_06572,F:protein binding
BCIN04G05820,0.436493536,0,R3H domain-containing [Botrytis cinerea T4],F:molecular_function
BCIN09G04490,0.435796772,0,acid trehalase,P:carbohydrate metabolic process; F:catalytic activity; F:carbohydrate binding
BCIN01G06210,0.435728954,0,putative carboxypeptidase protein,F:peptidase activity
BCIN01G05970,0.435547103,0,hypothetical protein BofuT4_P045910,"F:transferase activity, transferring acyl groups"
BCIN08G03320,0.435050275,0,extracellular conserved serine-rich [Botrytis cinerea 1],no GO terms
BCIN10G02960,0.434519791,0,duf1295 domain,C:cellular_component
BCIN02G06910,0.433100141,0,cell wall glucanase,"P:carbohydrate metabolic process; F:hydrolase activity, acting on glycosyl bonds"
BCIN09G03850,0.431542344,0,putative transaldolase protein,P:small molecule metabolic process; P:carbohydrate metabolic process; P:cofactor metabolic process; P:cellular nitrogen compound metabolic process; F:molecular_function
BCIN05G02520,0.431466489,0,glycoside hydrolase family 28 [Botrytis cinerea T4],"P:carbohydrate metabolic process; P:cell wall organization or biogenesis; C:extracellular region; F:hydrolase activity, acting on glycosyl bonds"
BCIN15G04670,0.431464982,0,serine-type peptidase activity,P:proteolysis; F:serine-type peptidase activity; F:serine-type endopeptidase activity
