GeneID,Cor,P,GeneDescription,GO
BCIN02G00005,-0.137336283,0.049,predicted protein,no GO terms
BCIN05G04770,-0.137355875,0.049,,
BCIN15G04800,-0.137413646,0.049,,
BCIN09G01970,-0.137503064,0.049,glycoside hydrolase family 16 [Botrytis cinerea T4],"P:carbohydrate metabolic process; C:integral component of membrane; F:hydrolase activity, hydrolyzing O-glycosyl compounds"
BCIN10G01480,-0.137563347,0.049,,
BCIN07G05920,-0.138175715,0.048,,
BCIN08G05420,-0.138292763,0.048,,
BCIN01G08250,-0.13845,0.048,,
BCIN01G06740,-0.138790595,0.047,,
BCIN01G04060,-0.138923216,0.047,hypothetical protein BC1G_12206 [Botrytis cinerea B05.10],no GO terms
BCIN10G02260,-0.139057345,0.046,NADH:ubiquinone oxidoreductase [Botrytis cinerea T4],C:cellular_component
BCIN09G03660,-0.13910557,0.046,,
BCIN06G07370,-0.139223121,0.046,,
BCIN06G01790,-0.139413011,0.046,,
BCIN16G00970,-0.139818409,0.045,,
BCIN01G00140,-0.139967608,0.045,,
BCIN06G00900,-0.140342364,0.044,Lipoic acid synthetase,"F:catalytic activity; C:mitochondrion; F:4 iron, 4 sulfur cluster binding; F:sulfurtransferase activity; F:lipoate synthase activity; F:iron-sulfur cluster binding; P:lipoate biosynthetic process; P:protein lipoylation"
BCIN14G03730,-0.140506633,0.044,,
BCIN01G05880,-0.140546319,0.044,,
BCIN08G06880,-0.140696523,0.044,,
BCIN03G07680,-0.140874355,0.043,,
BCIN07G00890,-0.141104433,0.043,,
BCIN05G03030,-0.141281261,0.043,,
BCIN16G05198,-0.141450052,0.042,,
BCIN04G01170,-0.142226187,0.041,,
BCIN16G03910,-0.142340222,0.041,,
BCIN12G04030,-0.142428133,0.041,,
BCIN01G10940,-0.142436171,0.041,,
BCIN03G04570,-0.142754663,0.04,,
BCIN02G06290,-0.143198743,0.04,,
BCIN13G02010,-0.143346435,0.039,,
BCIN01G00120,-0.143439872,0.039,trichothecene 3-o-acetyltransferase,"F:transferase activity, transferring acyl groups other than amino-acyl groups"
BCIN11G01930,-0.143692054,0.039,,
BCIN03G00070,-0.14377243,0.039,,
BCIN01G07330,-0.143810609,0.039,,
BCIN14G03290,-0.143811111,0.039,predicted protein,no GO terms
BCIN07G05560,-0.143940718,0.038,,
BCIN04G00890,-0.144014564,0.038,,
BCIN05G06180,-0.144171298,0.038,,
BCIN16G00870,-0.144508377,0.038,[Botrytis cinerea ],C:integral component of membrane
BCIN01G05900,-0.144543542,0.038,integral membrane,C:integral component of membrane
BCIN01G04150,-0.145042379,0.037,,
BCIN15G03040,-0.145121248,0.037,,
BCIN14G01930,-0.145392016,0.036,,
BCIN16G04120,-0.145528656,0.036,,
BCIN01G03770,-0.145778828,0.036,,
BCIN12G00860,-0.146625293,0.035,,
BCIN12G06060,-0.146652922,0.035,,
BCIN02G06310,-0.147024664,0.034,,
BCIN01G09540,-0.147030189,0.034,,
BCIN15G03050,-0.147145228,0.034,,
BCIN16G04990,-0.147150754,0.034,,
BCIN01G07210,-0.14717336,0.034,,
BCIN09G01890,-0.147281868,0.034,,
BCIN01G00710,-0.147443124,0.034,,
BCIN11G01080,-0.148120798,0.033,,
BCIN02G07490,-0.148266983,0.032,,
BCIN09G01200,-0.148682931,0.032,,
BCIN03G04040,-0.148817561,0.032,,
BCIN04G00900,-0.149012474,0.032,,
BCIN16G02210,-0.149117969,0.031,proteasome subunit alpha type 1 [Botrytis cinerea T4],C:nucleus; C:cytoplasm; P:catabolic process; C:protein complex; F:peptidase activity
BCIN02G06810,-0.149551499,0.031,,
BCIN01G10410,-0.150092031,0.03,,
BCIN08G02190,-0.150275892,0.03,,
BCIN03G07850,-0.150371339,0.03,,
BCIN01G09980,-0.15151369,0.028,,
BCIN05G04480,-0.152498804,0.027,nuclear elongation and deformation 1 [Botrytis cinerea T4],no GO terms
BCIN11G02150,-0.152678144,0.027,,
BCIN07G06960,-0.153186023,0.026,,
BCIN04G05000,-0.153785833,0.026,,
BCIN09G02030,-0.154053085,0.026,,
BCIN03G01700,-0.154395187,0.025,,
BCIN10G04480,-0.155546078,0.024,,
BCIN07G06600,-0.155698291,0.024,,
BCIN01G01590,-0.155875119,0.024,hypothetical protein BofuT4P110000005001 [Botrytis cinerea T4],no GO terms
BCIN14G02980,-0.156041398,0.024,cytochrome c oxidase family [Botrytis cinerea T4],C:mitochondrial respiratory chain; F:cytochrome-c oxidase activity; P:respiratory electron transport chain; C:integral component of membrane; P:hydrogen ion transmembrane transport
BCIN10G01120,-0.156115746,0.024,nadh:ubiquinone oxidoreductase subunit [Botrytis cinerea 1],no GO terms
BCIN11G01280,-0.156494018,0.023,,
BCIN01G04420,-0.157111912,0.023,hypothetical protein BC1G_13891,F:catalytic activity; P:metabolic process
BCIN16G05100,-0.157176213,0.022,,
BCIN16G04620,-0.158523022,0.021,hypothetical protein sscle_14g101510,
BCIN16G03830,-0.158639568,0.021,,
BCIN07G00720,-0.158820415,0.021,,
BCIN01G11300,-0.15971611,0.02,,
BCIN11G02940,-0.160152153,0.02,hypothetical protein BC1G_04814 [Botrytis cinerea B05.10],no GO terms
BCIN01G00760,-0.160271713,0.02,hypothetical protein BC1G_14345,C:Elongator holoenzyme complex
BCIN02G08570,-0.160567599,0.019,sec14 cytosolic factor [Botrytis cinerea T4],P:transport; C:intracellular; F:molecular_function
BCIN01G10820,-0.160954913,0.019,,
BCIN09G03670,-0.160980533,0.019,,
BCIN07G06060,-0.161306058,0.019,,
BCIN10G03870,-0.161372871,0.019,,
BCIN05G04090,-0.162568973,0.018,,
BCIN03G05450,-0.162716665,0.018,,
BCIN04G02290,-0.162870385,0.018,,
BCIN06G00010,-0.162985926,0.017,hypothetical protein OIDMADRAFT_44029,no GO terms
BCIN16G00620,-0.163689723,0.017,,
BCIN14G05220,-0.163814306,0.017,,
BCIN02G03600,-0.163915279,0.017,,
BCIN01G03470,-0.163968529,0.017,hypothetical protein BofuT4_P162080.1,no GO terms
BCIN03G03520,-0.164075027,0.017,,
BCIN07G06420,-0.164194085,0.017,,
BCIN15G00550,-0.164378449,0.016,,
BCIN09G06680,-0.164727082,0.016,,
BCIN16G02500,-0.165512259,0.016,,
BCIN13G01120,-0.166257249,0.015,,
BCIN13G00810,-0.166467735,0.015,,
BCIN09G06710,-0.166521487,0.015,,
BCIN13G05880,-0.167361923,0.014,,
BCIN11G00620,-0.167691969,0.014,,
BCIN03G01220,-0.167919535,0.014,predicted protein,no GO terms
BCIN10G04670,-0.167953695,0.014,NADH-ubiquinone oxidoreductase B12 subunit [Botrytis cinerea T4],P:generation of precursor metabolites and energy; C:mitochondrion; C:protein complex
BCIN15G04790,-0.168285248,0.014,,
BCIN15G03230,-0.16832192,0.014,,
BCIN01G02330,-0.168526378,0.014,,
BCIN08G05350,-0.168590679,0.014,deoxyribose-phosphate aldolase,F:deoxyribose-phosphate aldolase activity; C:cytoplasm; F:catalytic activity; P:deoxyribonucleotide catabolic process; F:lyase activity
BCIN06G07480,-0.168649956,0.014,,
BCIN01G03790,-0.168885058,0.013,class IV chitin synthase [Botrytis cinerea T4],"F:transferase activity, transferring hexosyl groups; C:integral component of membrane"
BCIN01G06840,-0.169029735,0.013,,
BCIN07G03750,-0.169669231,0.013,,
BCIN03G06850,-0.169770706,0.013,superoxide dismutase copper chaperone [Botrytis cinerea T4],F:ion binding; F:enzyme regulator activity; P:transport
BCIN14G01400,-0.1702178,0.013,,
BCIN06G02530,-0.170229354,0.013,peptidoglycan binding domain containing,no GO terms
BCIN03G09310,-0.171358644,0.012,,
BCIN03G00080,-0.17234627,0.011,,
BCIN16G01590,-0.172400022,0.011,glycoside hydrolase family 18 [Botrytis cinerea T4],"P:carbohydrate metabolic process; C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:cellulose binding"
BCIN08G02210,-0.173077194,0.011,,
BCIN04G00420,-0.173161087,0.011,,
BCIN12G00270,-0.173414272,0.011,,
BCIN09G07050,-0.173676501,0.011,small nuclear ribonucleo [Botrytis cinerea 1],"P:nuclear-transcribed mRNA catabolic process; P:mRNA splicing, via spliceosome"
BCIN01G00790,-0.174488303,0.01,,
BCIN03G02900,-0.175457342,0.01,,
BCIN01G02950,-0.175928549,0.01,,
BCIN01G03970,-0.176494199,0.009,,
BCIN12G06680,-0.176881513,0.009,,
BCIN08G02150,-0.176915673,0.009,,
BCIN04G04680,-0.177110586,0.009,,
BCIN06G00350,-0.177169361,0.009,,
BCIN06G00970,-0.177958056,0.009,,
BCIN05G03570,-0.178702543,0.009,,
BCIN11G03250,-0.178732182,0.009,,
BCIN02G06320,-0.179014002,0.008,,
BCIN08G00820,-0.179628379,0.008,nadh-ubiquinone oxidoreductase 14 kda [Botrytis cinerea 1],C:cellular_component
BCIN01G04890,-0.179860466,0.008,,
BCIN01G09600,-0.180370355,0.008,upf0041 domain-containing [Botrytis cinerea 1],C:mitochondrion; P:transport
BCIN01G00390,-0.181758356,0.007,,
BCIN04G06640,-0.181779455,0.007,predicted protein,no IPS match
BCIN02G01130,-0.18207936,0.007,,
